dataset,ablation,seed,node_f1,edge_auroc,subgraph_f1,explanation_fidelity,stability,completeness,latency_seconds
theia,minus_temporal_stream,110,0.9797979797979798,0.999175,0.6666666666666666,0.4996620714664459,1.0,1.0,0.0151595595000344
theia,minus_heterogeneous_stream,11,0.5808383233532934,0.99925,0.5,0.2795877158641815,1.0,1.0,0.0220478220001041
theia,minus_heterogeneous_stream,22,0.5808383233532934,0.99925,0.4,0.5024453401565552,1.0,1.0,0.0208645170000636
theia,minus_heterogeneous_stream,33,0.5808383233532934,0.99925,0.4,0.4070950746536255,1.0,1.0,0.0230917569999746
theia,minus_heterogeneous_stream,44,0.5808383233532934,0.99925,0.4,0.3858668506145477,1.0,1.0,0.0277684955001404
theia,minus_heterogeneous_stream,55,0.5808383233532934,0.9985,0.4,0.4361442029476166,1.0,1.0,0.024223329500046
theia,minus_heterogeneous_stream,66,0.5808383233532934,0.998875,0.4,0.2502782940864563,1.0,1.0,0.0242840060000162
theia,minus_heterogeneous_stream,77,0.5808383233532934,0.99925,0.5,0.2022104263305664,1.0,1.0,0.025214601000016
theia,minus_heterogeneous_stream,88,0.5808383233532934,0.99925,0.4,0.3679701387882232,1.0,1.0,0.0230214835000879
theia,minus_heterogeneous_stream,99,0.5808383233532934,0.99875,0.4,0.3183196187019348,1.0,1.0,0.0129761994999171
theia,minus_heterogeneous_stream,110,0.5808383233532934,0.9992,0.4,0.4690843522548675,1.0,1.0,0.0131619329997647
theia,minus_joint_optimization,11,0.9797979797979798,0.99925,0.6666666666666666,0.5261856913566589,1.0,1.0,0.0081965589997707
theia,minus_joint_optimization,22,0.9797979797979798,0.999225,0.6666666666666666,0.4967882335186004,1.0,1.0,0.0083050400000956
theia,minus_joint_optimization,33,0.9797979797979798,0.999225,0.6666666666666666,0.4517942070960998,1.0,1.0,0.0133154475001902
theia,minus_joint_optimization,44,0.9797979797979798,0.9993,0.6666666666666666,0.5298746824264526,1.0,1.0,0.0160942419997809
theia,minus_joint_optimization,55,0.9797979797979798,0.998575,0.6666666666666666,0.5375936627388,1.0,1.0,0.0084734619999835
theia,minus_joint_optimization,66,0.0,0.99925,0.6666666666666666,,,,
theia,minus_joint_optimization,77,0.9797979797979798,0.99925,0.6666666666666666,0.5155428647994995,1.0,1.0,0.0082151719993817
theia,minus_joint_optimization,88,0.9797979797979798,0.99925,0.6666666666666666,0.4815890192985534,1.0,1.0,0.0085299299998951
theia,minus_joint_optimization,99,0.9797979797979798,0.9992,0.6666666666666666,0.4891546070575714,1.0,1.0,0.0079569314993932
theia,minus_joint_optimization,110,0.9797979797979798,0.999175,0.6666666666666666,0.5268329977989197,1.0,1.0,0.0136990689998128
theia,minus_consistency_regularization,11,0.9797979797979798,0.99925,0.6666666666666666,0.5451017618179321,1.0,1.0,0.0154122214999006
